workset,bytes,nodes,iters,opt,mode,depth,instructions,cycles,branches,branch-misses,cycles_per_iter
DRAM,67108864,4194304,500000,O2,contract,3,344576457.0,662407248.0,44008767.0,169693.0,1324.814496
DRAM,67108864,4194304,500000,O2,contract,5,349138243.0,858351993.0,44840990.0,168993.0,1716.703986
DRAM,67108864,4194304,500000,O2,contract,8,343198623.0,649826076.0,43772925.0,126083.0,1299.652152
DRAM,67108864,4194304,500000,O3,guarded,2,312609993.0,444178428.0,38480857.0,72184.0,888.356856
DRAM,67108864,4194304,500000,O3,guarded,3,319111955.0,723343878.0,40081729.0,96446.0,1446.687756
DRAM,67108864,4194304,500000,O3,guarded,5,351602066.0,866380934.0,47100850.0,222059.0,1732.761868
DRAM,67108864,4194304,500000,O3,guarded,8,353048088.0,948840667.0,48537659.0,203651.0,1897.681334
DRAM,67108864,4194304,500000,O3,contract,2,319176686.0,605409789.0,38424221.0,133341.0,1210.819578
DRAM,67108864,4194304,500000,O3,contract,3,326755116.0,668307661.0,39889213.0,153867.0,1336.615322
DRAM,67108864,4194304,500000,O3,contract,5,330697865.0,680329300.0,40646186.0,155415.0,1360.6586
DRAM,67108864,4194304,500000,O3,contract,8,329325633.0,640845806.0,40462808.0,116209.0,1281.691612
