workset,nodes,iters,mode,depth,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,cache-references,cache-misses,LLC-loads,LLC-load-misses,L1-dcache-loads,L1-dcache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses
L3,524288,1000000,guarded,8,344933185.0,109897231.0,26960082.0,69325.0,,,29402362.0,11428040.0,9334916.0,3629898.0,21311489.0,12272116.0,19824588.0,2464114.0,2204.0,5380.0
L3,524288,1000000,contract,8,237294823.0,79651275.0,14030659.0,61196.0,,,27374152.0,9141690.0,9224826.0,3071224.0,21134579.0,12079019.0,19653831.0,2366489.0,1604.0,3703.0
DRAM,4194304,500000,guarded,8,751624688.0,367832081.0,52766959.0,141196.0,,,48576578.0,31587567.0,11956484.0,6288986.0,61346928.0,23645139.0,59927839.0,5246619.0,22368.0,49322.0
DRAM,4194304,500000,contract,8,628670399.0,355523817.0,46724963.0,136571.0,,,45063749.0,29215630.0,11860345.0,6109897.0,59639886.0,23590296.0,58300283.0,5264465.0,22338.0,48356.0
